Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6vQCNDNbA0DQoSPftbzS1W,"1cZQSpDsxgKIX2yW5OR9Ot","Time After Time - Spotify Singles","Time After Time (Spotify Singles)","Lennon Stella",2023-06-22,219648,52,spotify:user:,2024-08-16T04:00:00Z,"alt z,canadian pop,uk pop",0.647,0.4,0,-9.449,1,0.0292,0.514,0.000719,0.0846,0.417,127.989,4
2JtSnwYNKOphDrshYL8n4p,"2wUjUUtkb5lvLKcGKsKqsR","I'm Like A Bird - Recorded at Spotify Studios NYC","Spotify Singles","Alessia Cara",2019-04-24,219960,58,spotify:user:,2024-08-16T04:00:00Z,"canadian contemporary r&b,canadian pop,pop",0.524,0.639,10,-7.18,1,0.103,0.238,0,0.0598,0.582,87.998,4
6NX2uPsnjyEVaHo3x3GSSR,"0avMDS4HyoCEP6RqZJWpY2","Everytime - Spotify Singles","Everytime - Spotify Singles","Ethel Cain",2022-03-08,234753,55,spotify:user:,2024-08-16T04:00:00Z,"countrygaze,indie pop,modern dream pop",0.453,0.351,0,-10.066,1,0.0258,0.345,0,0.131,0.163,94.918,4
0UV2btQxu47HidfjAaM6f8,"4OSArit7O2Jaj4mgf3YN7A","Fade into You","Fade into You","Mallrat",2022-09-09,252596,40,spotify:user:,2024-08-16T04:00:00Z,"aussietronica,australian indie,brisbane indie",0.311,0.326,9,-10.79,1,0.0318,0.0329,0.00288,0.0987,0.23,156.702,3
7cpCU3Denug5NGZsSpQl8v,"0hEurMDQu99nJRq8pTxO14","XO","XO","John Mayer",2014-05-27,213626,67,spotify:user:,2024-08-16T04:00:00Z,"neo mellow,singer-songwriter",0.431,0.377,2,-9.753,1,0.0288,0.749,0,0.211,0.353,173.67,4
6wK4hGSu7eoabTibpljwHh,"6JINIoM2HUR5ZNTJwoR9eC","Take My Breath Away","in between everything","EZI",2019-07-17,158446,51,spotify:user:,2024-08-16T04:00:00Z,"alt z,nyc pop",0.718,0.616,8,-6.598,1,0.0901,0.0741,0.00287,0.367,0.354,102.981,4
0830WmzxBqOp9C93j8m9sN,"49tQo2QULno7gxHutgccqF","Sign Of The Times - Spotify Studios NYC","Spotify Singles","LANY",2017-10-11,319750,39,spotify:user:,2024-08-16T04:00:00Z,"la pop,opm",0.619,0.394,5,-9.747,1,0.0444,0.0472,0.02,0.1,0.123,124,4
5dsk3uLRghh1WmuN21LEW8,"7jEEE187pVG6InOxn03oA5","All Night Long (All Night) - Recorded at Spotify Studios Stockholm","Spotify Singles","Benjamin Ingrosso",2019-03-15,188166,59,spotify:user:,2024-08-16T04:00:00Z,"swedish pop",0.648,0.719,8,-7.101,0,0.0502,0.0111,0.000201,0.117,0.716,112.049,4
73dLCr0dOQ9hORkFfvJjoK,"6prmLEyn4LfHlD9NnXWlf7","Ordinary World","High Drama","Adam Lambert",2023-02-24,200171,33,spotify:user:,2024-08-16T04:00:00Z,"dance pop,idol,pop,post-teen pop",0.233,0.406,2,-6.803,0,0.0323,0.797,0,0.107,0.0692,88.097,5
20AJoXd1SjRLmoyCNFjAKm,"1rsnYoKcEZ9G1DdqSGzoYm","Don't Dream It's Over","Ocean","Amanda Jackson Band",2020-04-01,263800,31,spotify:user:,2024-08-16T04:00:00Z,"pei indie",0.711,0.195,2,-13.206,1,0.037,0.738,0,0.0893,0.191,129.941,4
4blEH2R5HZHTsZapNlvApV,"78Rk1F0jGdipWWfrhyWwt3","Wrecking Ball","Wrecking Ball","Patrick Droney",2022-02-04,213706,34,spotify:user:,2024-08-16T04:00:00Z,"nashville singer-songwriter",0.585,0.654,11,-6.255,1,0.0354,0.162,0.0152,0.0888,0.305,121.026,4
0m0Tv8qRoePqoWmU2Py5Gk,"2BccVcXzmwMB2b2mDEPuQH","Nothing Compares 2 U","Nothing Compares 2 U","COSIMA",2021-10-08,259866,31,spotify:user:,2024-08-16T04:00:00Z,"",0.264,0.118,3,-8.529,1,0.0341,0.737,0.0000113,0.161,0.133,171.719,4
3FZl7oNIPiYVfE59uVmPDU,"6mo0UbyIvIePdXNyLwQlk5","Ayo Technology","Born in the Eighties","Milow",2012-07-10,213945,32,spotify:user:,2024-08-16T04:00:00Z,"belgian pop,belgian rock,belgian singer-songwriter",0.777,0.644,11,-8.071,0,0.0395,0.393,0,0.0878,0.758,128.05,4
72PMRGgYB1mkY3TsUJZtyc,"32aFdXARUiqP81SXqIPD4w","Toxic","Yael Naïm","Yael Naim",2007-10-22,267226,32,spotify:user:,2024-08-16T04:00:00Z,"folk-pop",0.62,0.291,8,-11.858,1,0.0567,0.59,0.000104,0.0665,0.187,120.02,4
3SawmGBjjq8EOYZJV11cJm,"246dkjvS1zLTtiykXe5h60","Only Wanna Be With You - Pokémon 25 Version","Only Wanna Be With You (Pokémon 25 Version)","Post Malone",2021-02-25,241360,63,spotify:user:,2024-08-16T04:00:00Z,"dfw rap,melodic rap,pop,rap",0.47,0.709,7,-4.563,1,0.0299,0.00124,0.00121,0.302,0.247,98.036,4
6AGOKlMZWLCaEJGnaROtF9,"7MPGCB854Qo4alYMOPkBka","Put Your Records On","Put Your Records On","Ritt Momney",2020-04-24,210463,69,spotify:user:,2024-08-16T04:00:00Z,"bedroom pop",0.399,0.491,6,-10.778,0,0.0538,0.0563,0.00089,0.11,0.151,91.066,4
2DWteQehd27R6qkJdHFggd,"5y2Xq6xcjJb2jVM54GHK3t","By Your Side","LEGEND - Solo Piano Version","John Legend",2023-02-08,278226,35,spotify:user:,2024-08-16T04:00:00Z,"neo soul,pop,pop soul,urban contemporary",0.336,0.278,10,-7.273,1,0.0479,0.878,0,0.102,0.321,72.982,4
5iuWWNhVwmcbSJ5qTuYd9H,"1cZQSpDsxgKIX2yW5OR9Ot","Thank You","Thank You","Lennon Stella",2022-03-02,216110,48,spotify:user:,2024-08-16T04:00:00Z,"alt z,canadian pop,uk pop",0.493,0.11,11,-9.766,1,0.0374,0.928,0.00000981,0.11,0.145,135.957,4
1xN885vrS6dd9xfKXAgg4F,"0dUYLC7DLjeS8gIh8cz2Pq","Against All Odds","Division (Deluxe)","Jenevieve",2022-04-29,201506,37,spotify:user:,2024-08-16T04:00:00Z,"alternative r&b",0.624,0.449,4,-8.039,1,0.0293,0.456,0.000223,0.274,0.401,124.87,4
7lcUx8bgiwGEn0BHNo3O31,"3j4FHbC5zwmYGJ7r0ZgaMt","Dreams - Piano Version","When I'm Alone: The Piano Retrospective","Lissie",2019-04-05,274992,55,spotify:user:,2024-08-16T04:00:00Z,"folk-pop",0.562,0.187,0,-9.156,1,0.0313,0.921,0,0.0813,0.199,117.59,4
5My4LtZW8JQJoKFDWodqIt,"7n2wHs1TKAczGzO7Dd2rGr","Use Somebody - Recorded at Spotify Studios NYC","Spotify Singles","Shawn Mendes",2018-11-14,176586,56,spotify:user:,2024-08-16T04:00:00Z,"canadian pop,pop,viral pop",0.366,0.519,5,-6.066,1,0.0331,0.35,0,0.145,0.308,124.632,4
1JN2dN2AVW0EfJMhXniTLi,"3MNLhvqJkWsO6tcjY9ps62","Kids in America (From the Netflix Film Do Revenge)","Kids in America (From the Netflix Film Do Revenge)","Maude Latour",2022-09-16,194595,35,spotify:user:,2024-08-16T04:00:00Z,"alt z,indie pop,nyc pop",0.455,0.919,11,-4.798,0,0.0865,0.0734,0.00000227,0.188,0.652,163.041,4
4yyHCYD1ZmeIXEEbvLjCqh,"6jJ0s89eD6GaHleKKya26X","All You Need Is Love","All You Need Is Love","Katy Perry",2021-10-25,206138,37,spotify:user:,2024-08-16T04:00:00Z,"pop",0.25,0.515,11,-7.865,1,0.0571,0.333,0,0.102,0.39,199.967,4
2GSzaHXWxiHCo0pk0uOOpE,"4XgL05GiIZGJev3EwBnbsE","True Colors (Spotify Singles)","True Colors (Spotify Singles)","Madison Rose",2023-06-22,200655,34,spotify:user:,2024-08-16T04:00:00Z,"strut",0.58,0.683,0,-4.996,1,0.0436,0.0241,0,0.207,0.49,121.997,4
6ClEErrTmd3GzRqGiCEC8G,"1zNqDE7qDGCsyzJwohVaoX","Leave (Get Out) - Recorded at Metropolis Studios, London","Spotify Singles","Anne-Marie",2018-05-30,195920,43,spotify:user:,2024-08-16T04:00:00Z,"pop",0.484,0.381,2,-6.815,0,0.0541,0.853,0,0.119,0.644,169.506,4
3Wrjm47oTz2sjIgck11l5e,"0lAWpj5szCSwM4rUMHYmrr","Beggin'","Chosen","Måneskin",2017-12-08,211560,84,spotify:user:,2024-08-16T04:00:00Z,"indie rock italiano,italian pop",0.714,0.8,11,-4.808,0,0.0504,0.127,0,0.359,0.589,134.002,4
5THybCnLJJ6yELeignV078,"6CEtNCfXfEPpei0YBb0ZCh","You Get What You Give","You Get What You Give","Mint Simon",2023-02-15,217043,31,spotify:user:,2024-08-16T04:00:00Z,"",0.701,0.657,11,-7.54,0,0.0368,0.0222,0.00000138,0.0637,0.819,115.005,4
2le3X2fuJk9J3tUav1yqT2,"5xb6Nx1wcbMsvyQjN1jKmg","Flowers","Flowers","Mira Housey",2023-03-14,165120,35,spotify:user:,2024-08-16T04:00:00Z,"",0.783,0.543,10,-7.955,0,0.0349,0.135,0,0.111,0.643,124.959,4
5c0z1ccAIoZl1okUhiqNOc,"3FfbgiZhcCkoiI7IzOwXlI","In Your Eyes","In Your Eyes","Ben Abraham",2020-08-21,329086,46,spotify:user:,2024-08-16T04:00:00Z,"indie anthem-folk",0.44,0.453,1,-7.556,1,0.0392,0.903,0.0000134,0.112,0.352,90.214,4
2kgnKo9QCHpohSPxkDStLy,"3h9TfIgwhovQELlP2jj4xL","In My Life","In My Life","Madison Cunningham",2020-10-09,176320,47,spotify:user:,2024-08-16T04:00:00Z,"pop folk",0.609,0.143,8,-12.388,1,0.0282,0.893,0,0.156,0.189,87.153,4
1CBD8aOExhsuPedP2P0wVi,"5vBSrE1xujD2FXYRarbAXc","It's A Sin","It's A Sin","Olly Alexander (Years & Years)",2021-01-22,192078,40,spotify:user:,2024-08-16T04:00:00Z,"dance pop,gauze pop,pop,pop dance,uk pop",0.497,0.333,0,-5.222,0,0.0399,0.898,0,0.153,0.207,67.143,4
37mbA1RwYja7WFaIOzSczX,"2kxP07DLgs4xlWz8YHlvfh","You'll Be In My Heart - Spotify Singles","Spotify Singles","NIKI",2022-09-14,241776,48,spotify:user:,2024-08-16T04:00:00Z,"indonesian r&b",0.487,0.611,9,-8.757,1,0.0389,0.0572,0.00104,0.125,0.621,187.56,4
5qizUaJepbFJ5qGZyuyQim,"64PJHZDQTPPVBCdwnv22Wz","Diamonds","In Your Prime - EP","Josef Salvat",2014-09-19,247200,44,spotify:user:,2024-08-16T04:00:00Z,"gauze pop",0.489,0.368,11,-8.359,0,0.043,0.349,0.00071,0.11,0.245,82.462,4
5gAYEvsJZ7nFC220oB5DAv,"2zEASt0PHuI24e3JlAe17d","Wouldn't It Be Nice","The Salcombe Sessions, Vol. 1","Kate McGill",2023-07-07,152181,55,spotify:user:,2024-08-16T04:00:00Z,"",0.656,0.261,7,-11.743,0,0.0346,0.7,0,0.119,0.273,82.593,3
4BAlcJ34coNhGeUNfR2qop,"7Lk9V7E1u5gqSHmtcKlOqH","Fireflies","Fireflies","Sara Kays",2023-01-27,185714,34,spotify:user:,2024-08-16T04:00:00Z,"alt z,gen z singer-songwriter,modern indie pop",0.363,0.61,4,-6.935,1,0.0493,0.824,0.0000134,0.145,0.503,81.392,4
7aW7NJWNPSNOMGRUCmIody,"3o0xJMKswwtXz2PhrRCHhJ","Take On Me","Take On Me","Thunder Jackson",2021-10-19,146533,36,spotify:user:,2024-08-16T04:00:00Z,"cardiff indie",0.663,0.532,7,-5.325,1,0.0367,0.348,0.000519,0.0946,0.277,125.009,4
2Wv0DfptASwsdOVKtyLJua,"5C1tex8vm00yFKTitiOnMU","Kiss Me","Kiss Me","why mona",2023-02-03,148514,31,spotify:user:,2024-08-16T04:00:00Z,"la pop",0.443,0.501,0,-8.513,0,0.041,0.185,0,0.142,0.149,101.385,4
