,id,Artist(s),Title,Acousticness,Danceability,Duration (ms),Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,BMP,Time_Signature,Valence
33,1WE1WsxSqVofH8ugxJkc0c,Motörhead,Heroes,0.000264,0.399,260720,0.971,0.686,6,0.0609,-4.916,1,0.0724,125.026,4,0.244
34,6FCSwETzhnykKYJLIMTewZ,Metallica,Astronomy,0.000157,0.331,397533,0.782,0.0106,3,0.146,-5.624,0,0.0413,85.741,4,0.157
35,3ZPKocroJIcnHGcnJVlLKD,Weezer,Africa,0.205,0.534,238626,0.784,0.00579,8,0.106,-3.59,1,0.0339,92.147,4,0.6
36,1eBUvJSxkVfuLaZneEjsnT,Soil,Black Betty,0.00249,0.589,159800,0.872,2.29e-05,11,0.32,-6.789,0,0.104,128.996,4,0.523
37,13JsYnkF16pHKuOFG6uI1C,Elton John,Lucy In The Sky With Diamonds,0.0889,0.392,377573,0.566,7.6e-05,0,0.0676,-8.127,1,0.0368,164.11,4,0.538
38,5YZXVNIzaJquPCaSCePq98,T-Pain,War Pigs,9.44e-05,0.275,379647,0.888,0.000308,9,0.311,-3.068,1,0.0747,91.536,4,0.239
39,4JwxJm8zCPbc1DMcfVdbBl,Avenged Sevenfold,Wish You Were Here,0.00177,0.572,313918,0.567,0.00793,7,0.0689,-8.432,1,0.0298,130.018,4,0.29
40,4WNtqQQ7K1Ys30l2JtKHDy,Dynamite Hack,Boyz-n-the Hood,0.448,0.683,184490,0.453,0.000283,9,0.284,-7.084,1,0.0443,81.477,4,0.378
41,1xWvxnvzq4c5BVOZOqcmvd,Stevie Wonder,We Can Work It Out,0.0805,0.619,200440,0.574,0.0,8,0.0948,-9.775,1,0.0328,105.35,4,0.766
42,1kq4BX4zZHyr4O5cJGcduh,Guns N' Roses,Hair Of The Dog,0.00559,0.517,234906,0.97,0.0343,8,0.0581,-2.932,1,0.0853,134.336,4,0.601
43,0u6lRvvxbrAYEdkUFKmHp6,"Santana,Chris Cornell",Whole Lotta Love (feat. Chris Cornell),0.0437,0.406,231360,0.988,0.0637,9,0.0664,-2.72,1,0.0926,100.038,4,0.24
44,6Um3XCAxl9YfFmAnGl93xc,The Bobby Fuller Four,I Fought the Law - Single Version,0.105,0.593,138360,0.804,2.22e-06,7,0.047,-5.497,1,0.0319,148.959,4,0.962
45,4bUbgl5yiMEfGFy8CQNnXB,Shinedown,How Did You Love - Acoustic,0.137,0.52,185955,0.457,0.0,2,0.102,-7.877,0,0.0364,185.945,4,0.61
46,4lEIXpVeT8I0NuBs2SgtEY,Peter Frampton,While My Guitar Gently Weeps,0.0418,0.425,414760,0.726,0.0157,7,0.27,-5.438,1,0.0386,113.085,4,0.315
47,6U63nKrxHvM76KOa6kpyfq,Judas Priest,The Green Manalishi (With the Two Pronged Crown),0.000738,0.554,202626,0.79,0.00401,9,0.342,-7.126,1,0.0695,124.336,4,0.598
48,1YxE1cKYJztCvSfpPYS85G,Skindred,Electric Avenue,0.0059,0.654,190853,0.947,0.0,2,0.0851,-4.788,1,0.0761,129.862,4,0.931
49,2aoo2jlRnM3A0NyLQqMN2f,Jimi Hendrix,All Along the Watchtower,0.00255,0.438,240800,0.805,5.69e-05,8,0.0842,-6.237,1,0.0624,113.253,4,0.564
0,4mJDfMcT7odIUjWlb2WO4L,Ed Sheeran,Baby One More Time - Recorded at Spotify Studios New York City,0.189,0.792,177214,0.307,0.0,11,0.0834,-6.224,0,0.0522,104.511,4,0.631
1,2yN5ip7YyR19rmFSygnrOD,Avril Lavigne,Hello – Spotify Singles,0.209,0.406,246527,0.496,0.00348,8,0.0976,-8.834,1,0.0367,164.807,4,0.205
2,4sRoiXZBLpiRIklm2wy0WZ,Kelly Clarkson,Happier Than Ever,0.233,0.361,254725,0.461,0.0,7,0.0971,-6.435,0,0.0599,162.0,3,0.183
3,6MmBZEU7zbWwPP32XJQPoI,Michael Gerow,Rewrite the Stars,0.892,0.398,151446,0.289,0.0,10,0.0762,-7.623,1,0.0364,74.675,5,0.576
4,30QYxvXOJZhGBF6DvpNb8w,Sabrina Carpenter,I Knew You Were Trouble - Spotify Singles,0.401,0.386,233617,0.492,0.0,6,0.17,-6.657,1,0.044,145.961,4,0.215
5,7qF0FfuzBFwMe1lNHkEDxW,Lana Del Rey,"Take Me Home, Country Roads",0.923,0.321,166676,0.151,4.6e-06,9,0.112,-13.295,1,0.0296,74.991,4,0.357
6,7hLkwgguzGRq1rTyA3P9pr,Bakar,A Girl Like You,0.0609,0.866,116852,0.784,0.0508,5,0.127,-6.321,0,0.0411,130.056,4,0.897
7,4guQztGKAETkvuTekNeqBe,Teddy Swims,You're Still The One,0.531,0.546,196413,0.44,2.77e-05,1,0.0959,-6.668,1,0.0273,133.886,4,0.24
8,2UYNxBhod7KpjKEFlmHm2b,"King Henry,Sasha Alex Sloan",Kiss Me,0.392,0.582,235533,0.533,0.456,10,0.11,-7.623,0,0.0295,90.029,4,0.442
9,1DlqQ6itflIyZwOBx5Fppa,Ruel,Call Out My Name,0.125,0.477,226100,0.512,0.0,9,0.217,-8.256,0,0.0393,120.893,3,0.149
10,2CSbx5XAFortinS8hJ3IiC,Natalie Jane,Crazy,0.264,0.556,168421,0.711,0.0,8,0.102,-4.599,1,0.0414,113.801,4,0.267
11,1SoQtOBmEaGLFmzr8e0DCf,Rachel Lorin,Chemical,0.0432,0.601,181058,0.789,2.54e-06,6,0.107,-5.021,1,0.0775,169.761,4,0.171
12,0kIsnEg0TzJTsb6wTVHSeG,Emei,Watermelon Sugar - Spotify Singles,0.668,0.774,129656,0.312,0.00611,11,0.099,-13.629,0,0.116,104.014,4,0.39
13,4nNjUrfMmKz8x367DDoSKR,Capital Cities,Nothing Compares 2 U,0.0181,0.714,253833,0.51,0.00607,10,0.0963,-7.021,0,0.0417,122.99,4,0.481
