Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7dP4k5nDDwI1qMDoz5m0f6,"4M5nCE77Qaxayuhp3fVn4V,6Vfn70eqp3AgtiZZtQcv4W","This Must Be The Place","Sing Into My Mouth","Iron & Wine,Ben Bridwell",2015-07-14,212486,48,spotify:user:,2022-03-22T14:40:29Z,"acoustic pop,chamber pop,indie folk,indie rock,stomp and holler",0.634,0.419,0,-10.386,1,0.028,0.499,0.00438,0.124,0.562,118.838,4
6TCrhl4UEM2yXZ4uaXa5OY,"2tDK1KYXsOsqTe2ln3We4E","Honesty","Honesty","WesternBoy",2020-08-14,225944,29,spotify:user:,2022-03-22T14:40:29Z,"",0.672,0.576,10,-5.525,1,0.0279,0.44,0.00000239,0.334,0.72,143.11,4
4C9rhLT37Gv6VMVtFCb7O1,"3IaqL9bsZtYJkqNLiovVho","Harvest Moon","Harvest Moon","Handsome Ghost",2018-01-05,247879,30,spotify:user:,2022-03-22T14:40:29Z,"hopebeat,indie poptimism,nyc pop",0.565,0.361,2,-12.485,1,0.0295,0.616,0.00000924,0.0929,0.138,117.967,4
3EZInu9E19z1PGRln6ijuT,"0vWslArrZa7drINEUobJZl","Toxic","The Lingering","Siv Jakobsen",2015-05-26,188176,27,spotify:user:,2022-03-22T14:40:29Z,"",0.506,0.266,9,-10.531,0,0.038,0.735,0.00000374,0.0787,0.201,109.524,4
0C0bw3UZM525pEFU6hYfVH,"6k5S1Uz5IvsZDlhiONoBnH,4MhBe0d439ToDXCWlT3wae","Champagne Supernova (OurVinyl Sessions)","Jillette Johnson | OurVinyl Sessions","Jillette Johnson,OurVinyl",2021-04-09,254640,43,spotify:user:,2022-03-22T14:40:29Z,"",0.397,0.161,6,-13.916,1,0.0344,0.818,0.00002,0.111,0.105,109.88,4
7bqirkzoUJHi16RBEcQiv9,"0kBHkziT1rQpUBWW08p2dN","Dancing on My Own","Dancing on My Own","Jake McMullen",2016-08-23,307026,33,spotify:user:,2022-03-22T14:40:29Z,"nashville indie",0.876,0.564,0,-8.904,1,0.0365,0.138,0.521,0.102,0.741,110.962,4
2aDVymoLLpxVmITtdK0yiD,"5EDkJDlRNcMs3ewliB24QA","You're The One That I Want","Blue Film","Lo-Fang",2014-02-24,204706,47,spotify:user:,2022-03-22T14:40:29Z,"",0.448,0.309,11,-12.52,0,0.0404,0.644,0.000368,0.237,0.149,119.775,4
1xhM41HO1R4okfIi4iKp8o,"0MeLMJJcouYXCymQSHPn8g","Private Eyes","Covers, Vol. 1","Sleeping At Last",2014-05-16,206426,36,spotify:user:,2022-03-22T14:40:29Z,"ambient worship,chamber pop",0.41,0.17,5,-10.931,1,0.0408,0.987,0,0.115,0.288,142.432,3
7AvGswRZzCrH10NJrRtM8V,"1bdhNtlmYjOiLKF95N4yb0","I Wanna Be Sedated","A Cure For Wellness (Original Soundtrack Album)","Benjamin Wallfisch Feat. Mirel Wagner",2017,218070,26,spotify:user:,2022-03-22T14:40:29Z,"",0.338,0.112,4,-17.972,1,0.04,0.842,0.000363,0.157,0.31,82.868,4
5qeL0fWg4IDLZNUjVu53f2,"2IjiuEObrCKyZvSb8xLxG9,6aAestjbtEbALwyIYPg8Na","Feel Good Inc.","Feel Good Inc.","filous,LissA",2016-05-06,236129,43,spotify:user:,2022-03-22T14:40:29Z,"deep tropical house,tropical house,indie electropop",0.779,0.634,3,-7.975,0,0.0607,0.212,0.0634,0.11,0.576,124.047,4
3gkqjWvOpWpFQYX5AzqrY3,"5WRElKaZsn1tGnrgmJVAeO","Palace - Cover","Palace (Cover) / Diane","Cam",2018-04-20,229496,40,spotify:user:,2022-03-22T14:40:29Z,"contemporary country,modern country rock",0.403,0.0427,6,-11.177,0,0.0366,0.926,0.0000752,0.0984,0.274,78.073,3
7sP6zSFF0uep8457Wg2yGL,"2LSJrlndCuTpdEluvYHc2E","Bullet Proof.. I Wish I Was","Supermoon","S. Carey",2015-02-17,246573,21,spotify:user:,2022-03-22T14:40:29Z,"chamber pop,eau claire indie,indie folk",0.17,0.192,7,-12.236,1,0.0333,0.849,0.794,0.168,0.039,92.022,5
0ASjmESaww4tLMSDBzTu3U,"02Zxif3WoHx6ujXBSfBKOr","Pleasure","Pleasure","Mappe Of",2017-06-21,255130,12,spotify:user:,2022-03-22T14:40:29Z,"canadian indie folk,ontario indie",0.349,0.164,11,-17.582,0,0.0382,0.721,0.341,0.0839,0.0394,114.824,3
1FfoHjy7kr5IGtOjAKjeiv,"27IiEYV6p8fs5j8n39Pk1u","Wicked Game","Wicked Game","Aubrie Sellers",2020-07-10,295654,25,spotify:user:,2022-03-22T14:40:29Z,"country pop",0.458,0.44,2,-9.131,1,0.029,0.238,0.624,0.123,0.161,110.006,5
