Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1ruHPGW0R95DyoleHKMtl4,"6GB5ciGInIXxCbTrqdgz1W,5r1OHaNjhzMOn1J4lPi1SR","Murder On The Dancefloor","Murder On The Dancefloor","Amazonics,Brazil XXI",2024-03-22,169877,51,spotify:user:o0fbzeszsjwj57ln417mucadz,2024-08-16T20:04:18Z,"coverchill",0.813,0.608,1,-8.263,0,0.0457,0.41,0.000389,0.11,0.407,106.991,4
2B0xND8Y5274NEEF5hZtPQ,"6NP40ldgw4kYtspZOziuii,7mDPp4RHlXLWkyLAf3AFBx,3e8TWuBQYgKBa6feub25D7","Words - Blue System Remix","Words (Blue System Remix)","Eve St. Jones,Blue System,Ronan",2024-06-07,151071,56,spotify:user:o0fbzeszsjwj57ln417mucadz,2024-08-16T20:04:18Z,"coverchill,jazz cover,italo disco",0.823,0.516,0,-7.989,1,0.0346,0.234,0.525,0.116,0.5,111.995,4
7gshuLBhsLUkbCY0pSDMJW,"48eBlQXonG4CHpDSshfblU,3e8TWuBQYgKBa6feub25D7","I Was Made for Lovin' You - Ronan Remix","I Was Made for Lovin' You (Ronan Remix)","Apollinare Rossi,Ronan",2023-04-07,163738,48,spotify:user:o0fbzeszsjwj57ln417mucadz,2024-08-16T20:04:18Z,"coverchill",0.772,0.502,2,-6.965,0,0.0337,0.166,0.00033,0.126,0.365,106.992,4
2ettuUPLpFoR6OT1uMTi7h,"506zjFvbbNJcjxY260lHDC","How Many Lies?","How Many Lies?","Luca Giacco",2021-05-21,200250,46,spotify:user:o0fbzeszsjwj57ln417mucadz,2024-08-16T20:04:18Z,"bossa nova cover,coverchill",0.724,0.448,2,-14.383,1,0.0815,0.22,0.274,0.109,0.673,170.022,4
6E4Y6Lh9tGWezuWf2XzBwq,"2d5lQo9YQ1DkAsBKTRp7Iu","Get Lucky","Get Lucky - EP","Karen Souza",2013-09-12,198000,59,spotify:user:o0fbzeszsjwj57ln417mucadz,2024-08-16T20:04:18Z,"bossa nova cover,coverchill,jazz cover",0.498,0.468,6,-10.297,0,0.038,0.758,0.0000399,0.111,0.416,84.576,4
4HW4vRvT9UfOrwrjsmXYam,"33Vu3mpcuNfgWB9bknKI2W,4KWmY9RioiBzILyhpJjQ3J,4fJFwT6mtwBQTgsnPxh9fg","Back to Black","Back to Black","Spanish Flow,Freedom Dub,Pastora Andrades",2022-12-23,168316,46,spotify:user:o0fbzeszsjwj57ln417mucadz,2024-08-16T20:04:18Z,"coverchill,reggae cover",0.711,0.512,5,-11.66,0,0.0852,0.268,0.883,0.0814,0.684,160.073,4
5zbloXRvdATx11u9v2LTbe,"7675AXKo73FqKM9RDrGbf7","One Kiss","One Kiss","Nenei",2022-12-23,198008,44,spotify:user:o0fbzeszsjwj57ln417mucadz,2024-08-16T20:04:18Z,"coverchill,jazz cover",0.82,0.316,3,-11.847,1,0.154,0.0608,0,0.118,0.263,94.985,4
3ywQfd47HTyX92b1oQ1pUa,"4gus7u7NSeJ3OGIhOnNgIr","Cool","Cool","Ituana",2023-10-27,130932,49,spotify:user:o0fbzeszsjwj57ln417mucadz,2024-08-16T20:04:18Z,"coverchill,jazz cover",0.702,0.453,3,-11.022,0,0.127,0.671,0.0000778,0.15,0.632,95.831,4
3E7opp3zWp1lm0Y0vHWDxb,"4DpQLwz0jhUU7wuT9phTlD","Cryin'","My World","Sarah Menescal",2019-01-11,199046,52,spotify:user:o0fbzeszsjwj57ln417mucadz,2024-08-16T20:04:18Z,"bossa nova cover,coverchill",0.847,0.398,9,-12.355,1,0.0317,0.148,0.000323,0.104,0.606,120.02,4
2FYlBDDlTSgE6ohkiw4vy2,"4ktjqLotjs95qQfTLLmc25,506zjFvbbNJcjxY260lHDC","These Dreams","These Dreams","Groovy Waters,Luca Giacco",2021-06-11,215000,45,spotify:user:o0fbzeszsjwj57ln417mucadz,2024-08-16T20:04:18Z,"coverchill,bossa nova cover",0.803,0.494,8,-10.951,0,0.0396,0.302,0.303,0.11,0.661,114.999,4
