Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0rFWuqFgHAfuzE8uSB9TWR,"3qm84nBOXUEQ2vnTfUTTFC","Live And Let Die","Use Your Illusion I","Guns N' Roses",1991-09-17,182733,71,spotify:user:,1970-01-01T00:00:00Z,"glam metal,hard rock,rock",0.266,0.778,11,-8.671,1,0.0624,0.0106,0.113,0.12,0.262,151.244,4
4cMOsHcTygkVHs12Scxsui,"74IIqlVQQmvf04EHOI6yKh","Down with the Sickness","Tuxicity","Richard Cheese",2002-10-20,139573,43,spotify:user:,1970-01-01T00:00:00Z,"comic,comic metal,jazz cover",0.701,0.508,2,-7.438,1,0.101,0.527,0.000337,0.674,0.517,117.779,4
527R1DmNg3FlPa9ibM3qai,"36fRS180eynlf6ERSo3SmX,4GYxAcK4QGK3rAsQxs0B2w","Stay with Me","City Poppin'","Caitlin Myers,Un3h",2021-03-07,310008,37,spotify:user:,1970-01-01T00:00:00Z,"otacore",0.647,0.809,2,-6.875,0,0.0466,0.2,0.00000276,0.0478,0.528,108.246,4
1T94tcUfe2X74nriMCAWQa,"3d2hJTVTwo08F9b0ZFQukJ","While My Guitar Gently Weeps","Hell To Pay","The Jeff Healey Band",1990-05-21,315666,50,spotify:user:,1970-01-01T00:00:00Z,"blues,blues rock,canadian blues,country rock,electric blues,modern blues",0.431,0.666,7,-11.141,1,0.0337,0.00151,0.00213,0.0527,0.619,134.777,4
3ARngx4lU4zYSWTiXm4Yag,"4TMHGUX5WI7OOm53PqSDAT","Good Lovin' - 2013 Remaster","Shakedown Street","Grateful Dead",1978,291342,46,spotify:user:,1970-01-01T00:00:00Z,"cosmic american,jam band,psychedelic rock",0.699,0.635,0,-10.654,1,0.0387,0.16,0.0218,0.161,0.945,159.573,4
1tBZnhDT8xbgJTs43FiqrD,"4YZ5ECfbM2xSTSQTJGBbO5,7vtO3glDQwyFDY5cTymz4E","Hazy Shade of Winter (feat. Ray Toro)","Hazy Shade of Winter (feat. Ray Toro)","Gerard Way,Ray Toro",2019-01-24,197733,50,spotify:user:,1970-01-01T00:00:00Z,"",0.248,0.937,5,-5.121,0,0.0687,0.00742,0.362,0.0799,0.142,149.796,4
37qLqaDfuNy1KpgtV97UuQ,"4opTS86dN9uO313J9CE8xg","Little Wing","B-Side Ourselves","Skid Row",1992-09-22,199533,51,spotify:user:,1970-01-01T00:00:00Z,"album rock,glam metal,hard rock,metal,rock",0.343,0.444,7,-7.757,1,0.0332,0.0363,0.00545,0.0511,0.372,132.925,4
4KyPPjKoZVlMihGk94Fc1G,"3VSHFjwG94ubNcoST9hfxX","99 Problems","Old Tyme Religion","Hugo",2011-05-10,137426,61,spotify:user:,1970-01-01T00:00:00Z,"thai folk",0.529,0.557,9,-7.762,1,0.0738,0.0357,0.0000393,0.0734,0.592,162.599,4
6opIwpImZYdxNgG4wpDxED,"3lPQ2Fk5JOwGWAF3ORFCqH,0uZRjholJ0fVC2J9EvnYnj","Wild Night","Dance Naked","John Mellencamp,Meshell Ndegeocello",1994,207506,50,spotify:user:,1970-01-01T00:00:00Z,"album rock,classic rock,country rock,folk rock,hard rock,heartland rock,mellow gold,rock,singer-songwriter,soft rock,neo soul",0.665,0.888,7,-4.433,1,0.0552,0.0695,0.00147,0.104,0.951,144.339,4
52XSq4ZU4Wu3IZ2wcaBhhD,"3HVdAiMNjYrQIKlOGxoGh5","We’re An American Band","Venomous Rat Regeneration Vendor","Rob Zombie",2013-01-01,209826,45,spotify:user:,1970-01-01T00:00:00Z,"alternative metal,hard rock,industrial metal,industrial rock,nu metal,post-grunge,rock",0.513,0.991,1,-3.267,0,0.0983,0.000297,0.0000122,0.471,0.441,120.056,4
